Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
8/1/2023,4576.72998,4584.620117,4567.529785,4578.830078,4042370000
8/2/2023,4513.390137,4550.930176,4505.75,4550.930176,4270710000
8/3/2023,4501.890137,4519.490234,4485.540039,4494.27002,4149120000
8/4/2023,4478.029785,4540.339844,4474.549805,4513.959961,4143310000
8/7/2023,4518.439941,4519.839844,4491.149902,4491.580078,3493920000
8/8/2023,4499.379883,4503.310059,4464.390137,4498.029785,3884910000
8/9/2023,4467.709961,4502.439941,4461.330078,4501.569824,3803100000
8/10/2023,4468.830078,4527.370117,4457.919922,4487.160156,4504370000
8/11/2023,4464.049805,4476.22998,4443.97998,4450.689941,3753290000
8/14/2023,4489.720215,4490.330078,4453.439941,4458.129883,3896410000
8/15/2023,4437.859863,4478.870117,4432.189941,4478.870117,3832250000
8/16/2023,4404.330078,4449.950195,4403.549805,4433.790039,3753910000
8/17/2023,4370.359863,4421.169922,4364.830078,4416.319824,3943700000
8/18/2023,4369.709961,4381.819824,4335.310059,4344.879883,3940400000
8/21/2023,4399.77002,4407.549805,4360.299805,4380.279785,3726850000
8/22/2023,4387.549805,4418.589844,4382.77002,4415.330078,3522760000
8/23/2023,4436.009766,4443.180176,4396.439941,4396.439941,3837270000
8/24/2023,4376.310059,4458.299805,4375.549805,4455.160156,3723470000
8/25/2023,4405.709961,4418.459961,4356.290039,4389.379883,3296180000
8/28/2023,4433.310059,4439.560059,4414.97998,4426.029785,2957230000
8/29/2023,4497.629883,4500.140137,4431.680176,4432.75,3354820000
8/30/2023,4514.870117,4521.649902,4493.589844,4500.339844,3064110000
8/31/2023,4507.660156,4532.259766,4507.390137,4517.009766,3946360000
9/1/2023,4515.77002,4541.25,4501.350098,4530.600098,3246260000
9/5/2023,4496.830078,4514.290039,4496.009766,4510.060059,3526250000
9/6/2023,4465.47998,4490.350098,4442.379883,4490.350098,3418850000
9/7/2023,4451.140137,4457.810059,4430.459961,4434.549805,3763760000
9/8/2023,4457.490234,4473.529785,4448.379883,4451.299805,3259290000
9/11/2023,4487.459961,4490.77002,4467.890137,4480.97998,3369920000
9/12/2023,4461.899902,4487.109863,4456.830078,4473.27002,3435740000
9/13/2023,4467.439941,4479.390137,4453.52002,4462.649902,3529430000
9/14/2023,4505.100098,4511.990234,4478.689941,4487.779785,3648720000
9/15/2023,4450.319824,4497.97998,4447.209961,4497.97998,6932230000
9/18/2023,4453.529785,4466.359863,4442.109863,4445.129883,3161230000
9/19/2023,4443.950195,4449.850098,4416.609863,4445.410156,3614880000
9/20/2023,4402.200195,4461.029785,4401.379883,4452.810059,3308450000
9/21/2023,4330,4375.700195,4329.169922,4374.359863,3662340000
9/22/2023,4320.060059,4357.399902,4316.490234,4341.740234,3349570000
9/25/2023,4337.439941,4338.509766,4302.700195,4310.620117,3195650000
9/26/2023,4273.529785,4313.009766,4265.97998,4312.879883,3472340000
9/27/2023,4274.509766,4292.069824,4238.629883,4282.629883,3875880000
9/28/2023,4299.700195,4317.27002,4264.379883,4269.649902,3846230000
9/29/2023,4288.049805,4333.149902,4274.859863,4328.180176,3865960000
